,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
Beef,0.14483282508650366,0.2254021389861184,0.2141116140218065,0.18518105309850938,0.1826742906136035,0.18253966796449897,0.0547740264091365,0.1955550052488001,0.1379375488793755,0.2173801354315545,0.0,0.2416764852976527,0.1275451169332176,0.0,0.1389202368520485,0.1903337214790409,0.2906699557556476,0.2173801354315545,30,30,470,5,SPECTRO
Computers,0.05581440805397366,0.0557990608729368,0.05718608410225899,-0.0004414764694816157,0.014729509679804331,0.031562526217595775,0.0739104017655773,0.0100336367591782,0.0133858429910669,0.011435469354191,0.0,0.0145610143863462,0.0261897368654931,0.0,0.0045046209895823,0.0,0.019667206146975,0.0258654333717073,250,250,720,2,DEVICE
Chinatown,0.4271896918912653,0.1378636826317694,0.6299834082466372,0.016675623516852332,0.006795853363386268,0.03198748261421264,0.0,0.4379801787905924,0.0058539712285401,0.4775802689476857,0.0,0.6864994678399071,0.0558441609738233,0.0058539712285401,0.6399815698053596,0.0,0.8126738735268986,0.4729815962348635,20,345,24,2,TRAFFIC
Haptics,0.10967081018500328,0.1276873000128873,0.07864812809297875,0.0761663498368847,0.03097083473452178,0.07836955346013894,0.0049252859929937,0.0615334055354975,0.0014626692221278,0.07974002810466,0.0,0.0840502737784489,0.0621137024835422,0.0,0.0948290464959802,0.0,0.1170851866900758,0.0874636551115877,155,308,1092,5,MOTION
UWaveGestureLibraryAll,0.27063707192666053,0.3871541005284683,0.7012730675448124,0.6702014590290676,0.2802252869856207,0.6273369185185096,0.0246541926010421,0.2018007888252946,0.303797240326693,0.7490941763018716,0.0,0.6590952532136511,0.0402380802366621,0.0,0.6573185732697264,0.0,0.8283767818312218,0.7484017785971637,896,3582,945,8,MOTION
Strawberry,0.11590175036810675,0.0614933906495653,0.12262822341653608,0.12262822341653634,0.03371115478930133,0.09072879085822166,0.0501312291161,0.1975940185194841,0.0261751943633841,0.0999866101795073,0.0,0.1202518724872473,0.1114097760630581,0.0,0.1129914037452705,0.0,0.0250842613467952,0.1870008404410348,613,370,235,2,SPECTRO
GunPointAgeSpan,-0.0007038214763107978,0.0260887113172318,0.002302956930833566,0.29374768845544325,0.049000384168005576,0.23892674758994512,0.0,0.2833526479886289,-0.0017482697602867,-0.0017482697602867,0.0,-0.0017482697602867,0.2529259409321431,0.0,-0.0017482697602867,0.3055889476591085,0.0467934947261518,-0.0017482697602867,135,316,150,2,MOTION
BeetleFly,0.09590666687315856,-0.0139436814841951,0.010560886677435792,0.0575749288163942,0.2400806928221595,0.12528226525328207,0.037052859796675,0.0245896702322783,-1.1553544663060258e-15,0.0814086019421411,0.0,0.1201339546453549,0.1559243573816766,0.0,0.0816642933834653,0.0,0.1201339546453549,0.0816642933834653,20,20,512,2,IMAGE
Wafer,0.000830892066097257,0.0466321150186724,0.025571190581391907,-1.672476827605526e-05,0.0069178975381393075,0.19980487879030653,0.0461269171821751,0.1161004087065647,0.0001544644719777,-0.0001432445681341,0.0214492836661347,0.0119319056337818,0.0455081927744146,0.0273483590292582,-0.0001401996036159,0.1948447169911972,0.0011393555426233,0.0001544644719777,1000,6164,152,2,SENSOR
CBF,0.8026924380039215,0.8706923182577861,0.7674884989029293,0.35179483705338405,0.476326796342882,0.4509808245469415,0.3925047290929627,0.3989425722135613,4.181737853701047e-06,0.337910301473754,0.0,0.2953421536339638,0.0643551934054202,0.0,0.4416877599835977,0.0,0.3683138009810956,0.5573747452517419,30,900,128,3,SIMULATED
