,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
Beef,0.05390575397710502,0.1332041748523509,0.11373046621443024,0.07267364554326922,0.06318157152582453,0.06845013899204037,0.021602834513014,0.0611075747931253,0.0474736015359106,0.089599686987993,0.0,0.1299616422787327,0.032972920988638,0.0,0.034814308498519,0.089215043899882,0.2001897242877689,0.089599686987993,30,30,470,5,SPECTRO
Computers,0.07629081257241914,0.0761294021819868,0.0679230677259087,-0.0005710918095590017,0.009636195514906399,0.015506230194170544,0.0201163988497378,0.0007312877685939,0.0006423996397277,0.0127132155824961,0.0,0.0177994906510625,0.003278524366384,0.0,0.0058446572523518,0.0,0.0170921475790544,0.0183890185968902,250,250,720,2,DEVICE
Chinatown,0.491698455757095,0.1363023741155146,0.6756015736503154,0.04669211569893082,-0.01824202689016179,0.054476356549002396,0.0,0.291850263455302,0.0081916618289372,0.460660378168798,0.0,0.7485197552197441,0.0980985242590462,0.0081916618289372,0.756528232759402,0.0,0.8896808404354958,0.453274291688772,20,345,24,2,TRAFFIC
Haptics,0.08919539359931107,0.1067786038601319,0.06118830239859335,0.056881715103551986,0.01675444817456421,0.05878090938553692,0.000414093071294,0.0066607923157146,0.0011362110771366,0.0617008361479586,0.0,0.0621490314286706,0.0283199825523113,0.0,0.0722078153909619,0.0,0.089868708171116,0.0678314562510945,155,308,1092,5,MOTION
UWaveGestureLibraryAll,0.18607528643038823,0.3104593099260365,0.6585134588693486,0.5819439249610034,0.21217608107350266,0.49055941875135994,0.0111243425826602,0.0078808735879624,0.0766205835468982,0.6334802637366518,0.0,0.557956743276975,0.0167589147602657,0.0,0.5615737642060047,0.0,0.7390042388970632,0.6392574489511663,896,3582,945,8,MOTION
Strawberry,-0.02925589137375219,0.0665134616227163,-0.019398783006872176,-0.019398783006872176,-0.013946008683934984,0.029616590073885136,-0.0328129573079245,0.0263258489500493,-0.0185602598413964,-0.0337410088159237,0.0,-0.0211795248962237,-0.0005294339748784,0.0,-0.0339053624853675,0.0,-0.017849776078761,0.0636449965975616,613,370,235,2,SPECTRO
GunPointAgeSpan,-0.0009818894540214416,0.035753899888053,0.0008091948116030617,0.2564975021015511,0.028017449922895343,0.2024784808376059,0.0,0.127246316772395,-0.0017299904149958,-0.0017299904149958,0.0,-0.0017299904149958,0.1044829699016393,0.0,-0.0017299904149958,0.1334577193219972,0.0585783511041581,-0.0017299904149958,135,316,150,2,MOTION
BeetleFly,0.10492113489987218,-0.0182482126534326,0.012491845596662183,0.07209360162054124,0.2468944467776812,0.07366919091206665,0.0301958768926181,0.0080955272212102,0.0,0.072156862745098,0.0,0.1399317406143344,0.0518638573743922,0.0,0.1008866995073891,0.0,0.1399317406143344,0.1008866995073891,20,20,512,2,IMAGE
Wafer,0.002890967935331047,0.0184505988152284,0.05441633146063561,0.003605161666667726,-0.02027581989812603,0.06619951203296474,0.0333834883970817,0.0032179613060534,0.0055733352317177,-5.067360513777525e-05,-0.0723682117348449,0.0276962828245101,-0.0019017275216276,0.0125927067897702,0.0005118239789696,0.0781435463167438,-0.0043323616976884,0.0055733352317177,1000,6164,152,2,SENSOR
CBF,0.8157452817815448,0.8993744994814487,0.7234091808539211,0.3357886519991482,0.41320359219767655,0.3582486316916767,0.2666996804627664,0.0820859066094637,4.639795240148562e-06,0.2774399458135819,0.0,0.2668991752291854,0.0222766715399134,0.0,0.3661346983049742,0.0,0.1680576401023608,0.4495797393598476,30,900,128,3,SIMULATED
