,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
Beef,0.23514247293746388,0.3024548676038129,0.29316110683279534,0.27100322220597395,0.27153643903436364,0.27082370304987047,0.0866641692400791,0.2555224690302209,0.244637388860118,0.30422626153433,0.0,0.3191899503284329,0.1883771499135913,0.0,0.2296623085455055,0.2550958158736813,0.3605446108781462,0.30422626153433,30,30,470,5,SPECTRO
Computers,0.05718098609727988,0.0571662306867652,0.05859785062944904,0.001024801663127914,0.016763725537192842,0.0354335783247001,0.075801662038811,0.1643972757271115,0.0160793936679243,0.012949594736052,0.0,0.0160334685347901,0.028492405496971,0.0,0.0059702853870926,0.0,0.0212623964409685,0.0275265751392663,250,250,720,2,DEVICE
Chinatown,0.42847968083630067,0.1397124119984235,0.6308463076183903,0.01884008227612556,0.009134533275632998,0.03593374423772458,0.0,0.4425527731794801,0.0111753046847914,0.4787052166337955,0.0,0.687195693295677,0.0591300084234368,0.0111753046847914,0.6407947189994452,0.0,0.8131007717766546,0.474115926110644,20,345,24,2,TRAFFIC
Haptics,0.11951115811923756,0.1371955806602308,0.0892573265397184,0.08682512625177226,0.041937411082989186,0.08895446809320011,0.0101433766343585,0.3881165552629811,0.0181231434484356,0.0910510038521216,0.0,0.0946667077900756,0.0658492739110706,0.0,0.1049000189016983,0.0,0.1271225160449433,0.0981343179391711,155,308,1092,5,MOTION
UWaveGestureLibraryAll,0.27256631391731306,0.3887715687012803,0.7020625785382087,0.671080911367192,0.28215744579244423,0.6279783343511935,0.0274966886623881,0.4298889151808471,0.3058116963058775,0.7497648874139957,0.0,0.6600057142526459,0.0408033178405056,0.0,0.65823693607753,0.0,0.8288391124677992,0.7490752273224472,896,3582,945,8,MOTION
Strawberry,0.11669569631240935,0.0622051163674859,0.12339650719565998,0.12339650719566005,0.03452049490603705,0.09243846627662945,0.0512926984349499,0.212745475158786,0.0275086341943277,0.1008044612050814,0.0,0.1210249734902525,0.1769649064651968,0.0,0.1138008365882713,0.0,0.026427686559707,0.1876550420759456,613,370,235,2,SPECTRO
GunPointAgeSpan,0.0009028108683691996,0.0276538668973392,0.004216029951550762,0.294979693583295,0.05068892551418669,0.24204225508780663,0.0,0.2879461269901518,2.2911310166505165e-06,2.2911310166505165e-06,0.0,2.2911310166505165e-06,0.2916312951091906,0.0,2.2911310166505165e-06,0.3088828804446137,0.0483508879522873,2.2911310166505165e-06,135,316,150,2,MOTION
BeetleFly,0.1136573200052794,0.0053285466393904,0.029366562744883296,0.07610613337157068,0.25525566166026414,0.16970303933987022,0.0580830919757078,0.3224217272708425,0.0435754327922685,0.1008183439132767,0.0,0.1372864575829127,0.1787102334180874,0.0,0.0993461312503651,0.0,0.1372864575829127,0.0993461312503651,20,20,512,2,IMAGE
Wafer,0.000970093716383787,0.046761207760545,0.025708325987085938,0.0001263179123237744,0.007090627044941474,0.2000461266280473,0.0465653356260475,0.1206945915845124,0.0002973848240574,2.1627088837900138e-15,0.0364628857483451,0.0120686344979988,0.0787672311390296,0.0276254147697209,3.016080573246893e-06,0.1950550142232276,0.0015877413878442,0.0002973848240574,1000,6164,152,2,SENSOR
CBF,0.8030814337809435,0.870848012848509,0.767952562638132,0.35307993151373795,0.47743036518668946,0.452766406495375,0.3944854493438289,0.4131485059874049,0.0042444292840627,0.3393481022301411,0.0,0.2967916187608068,0.065697327060659,0.0,0.4428318003457854,0.0,0.3697442661180027,0.558281579018167,30,900,128,3,SIMULATED
