,kGraph,SPF,kShape,kMeans,Time2Feat,DTC,Reservoir,Affinity,Agglomerative,BIRCH,DBSCAN,Gauss.-Mixt.,HDBSCAN,MeanShift,MB-KMeans,OPTICS,Spectral,Ward,Train Size,Test Size,Length,No. of Classes,Type
Beef,0.6604519774011299,0.7246327683615819,0.7007909604519773,0.6446327683615819,0.6410169491525423,0.6538606403013182,0.4410546139359699,0.3785310734463277,0.3728813559322034,0.6435028248587571,0.1864406779661017,0.7067796610169491,0.3259887005649717,0.1864406779661017,0.5943502824858757,0.6672316384180791,0.7497175141242938,0.6435028248587571,30,30,470,5,SPECTRO
Computers,0.5381466933867735,0.5380649298597194,0.5338789579158316,0.4996825651302605,0.504165130260521,0.5081148964595857,0.5093921175684702,0.5013627254509018,0.4993907815631263,0.5062124248496994,0.4989979959919839,0.5088176352705411,0.5008016032064129,0.4989979959919839,0.5028777555110221,0.4989979959919839,0.5082645290581163,0.5088176352705411,250,250,720,2,DEVICE
Chinatown,0.7509799789251844,0.5680136371246366,0.8441065783531536,0.5287581997777879,0.5116242661448142,0.5488283406091625,0.5900339406115398,0.6097286273077333,0.5924082614188089,0.7307581084577569,0.5900339406115398,0.8761700378978129,0.6124986682495472,0.5924082614188089,0.8809795595330503,0.5900339406115398,0.9462733817329498,0.7270139871847556,20,345,24,2,TRAFFIC
Haptics,0.7008368161715893,0.7149327274597252,0.6756332220695072,0.6670724523856274,0.6622254635213599,0.6686239126843879,0.2474389061862063,0.8001739081652689,0.2110179237609043,0.6302488008751508,0.1997793423279384,0.6661337222892298,0.4529185717090684,0.1997793423279384,0.6936224322833394,0.1997793423279384,0.6816732583471244,0.662954755827326,155,308,1092,5,MOTION
UWaveGestureLibraryAll,0.8207925516383024,0.849332766560425,0.9250319059162294,0.905152203166739,0.8172793244375525,0.8532394027948049,0.6294127871536617,0.8757392630469085,0.3449170954956817,0.9159522398387152,0.124804631443147,0.8988168698672576,0.4271578929096489,0.124804631443147,0.8981774047753178,0.124804631443147,0.9395811234294325,0.9170762418965756,896,3582,945,8,MOTION
Strawberry,0.5014356069474344,0.5333028076071215,0.5041655184987973,0.5041655184987973,0.5017530192498544,0.49419562294236236,0.5177570635632639,0.4756294895090261,0.5280957540924847,0.5001999366004148,0.5403903011065921,0.5035936791027923,0.4618307562576012,0.5403903011065921,0.5004485624247648,0.5403903011065921,0.5285847182137063,0.5375311041265671,613,370,235,2,SPECTRO
GunPointAgeSpan,0.49951022419315105,0.5178753387533875,0.49997536338999754,0.6280857354028085,0.5137639812761764,0.6016555801921656,0.498950480413895,0.5643064794284306,0.4989110618378911,0.4989110618378911,0.498950480413895,0.4989110618378911,0.5530524759793053,0.498950480413895,0.4989110618378911,0.5672431633407243,0.5292436560729243,0.4989110618378911,135,316,150,2,MOTION
BeetleFly,0.5515384615384615,0.4907692307692308,0.5061538461538462,0.5351282051282051,0.6223076923076923,0.5435897435897435,0.5115384615384615,0.5166666666666667,0.4884615384615384,0.5333333333333333,0.4871794871794871,0.5692307692307692,0.5192307692307693,0.4871794871794871,0.55,0.4871794871794871,0.5692307692307692,0.55,20,20,512,2,IMAGE
Wafer,0.5188503283944191,0.5094503260715447,0.5499617700084645,0.5353271000791726,0.6095423914054271,0.38024207988822356,0.4269374156058029,0.1970304545202629,0.5358490063047332,0.534367979004957,0.638551779793378,0.5272997372423723,0.2011535955484372,0.53773408123653,0.5345146786564401,0.4319554478926657,0.8059261826373245,0.5358490063047332,1000,6164,152,2,SENSOR
CBF,0.9178110351053854,0.9775237566119191,0.8750516800351864,0.7021053971781429,0.718579117330463,0.7392903302969623,0.6560852807389145,0.6877275831336737,0.3340578955287799,0.6521893121288934,0.3326157158234661,0.6589163975601005,0.4272949292220794,0.3326157158234661,0.705982846626619,0.3326157158234661,0.5727536835769761,0.7437110084840909,30,900,128,3,SIMULATED
